구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3,,이과대학,지구환경과학과,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3,,이과대학,지구환경과학과,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2,,이과대학,지구환경과학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1,,이과대학,지구환경과학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1,,이과대학,지구환경과학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3,,이과대학,지구환경과학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3,,이과대학,지구환경과학과,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3,,이과대학,지구환경과학과,,,,1
교양선택,MATH161,미적분학및연습I,1,1.0,,,,,3,4,,이과대학,지구환경과학과,수학과,,,5
교양선택,MATH162,미적분학및연습II,1,2.0,,,,,3,4,,이과대학,지구환경과학과,수학과,,,5
교양선택,EAES151,지구환경과학및연습 I,1,1.0,,,,,3,3,,이과대학,지구환경과학과,지구환경과학과,,,5
교양선택,EAES152,지구환경과학및연습 II,1,2.0,,,,,3,3,,이과대학,지구환경과학과,지구환경과학과,,,5
교양선택,EAES153,지구환경과학실험 I,1,1.0,,,,,1,3,,이과대학,지구환경과학과,지구환경과학과,,,5
교양선택,EAES154,지구환경과학실험 II,1,2.0,,,,,1,3,,이과대학,지구환경과학과,지구환경과학과,,,5
교양선택,PHYS151,일반물리학연습 I,1,1.0,,,,,3,3,,이과대학,지구환경과학과,물리학과,,,5
교양선택,PHYS152,일반물리학연습 II,1,2.0,,,,,3,3,,이과대학,지구환경과학과,물리학과,,,5
교양선택,PHYS161,일반물리학실험 I,1,1.0,,,,,1,3,,이과대학,지구환경과학과,물리학과,,,5
교양선택,PHYS162,일반물리학실험 II,1,2.0,,,,,1,3,,이과대학,지구환경과학과,물리학과,,,5
교양선택,CHEM151,일반화학및연습 I,1,1.0,,,,,3,3,,이과대학,지구환경과학과,화학과,,,5
교양선택,CHEM152,일반화학및연습 II,1,2.0,,,,,3,3,,이과대학,지구환경과학과,화학과,,,5
교양선택,CHEM153,일반화학실험 I,1,1.0,,,,,1,3,,이과대학,지구환경과학과,화학과,,,5
교양선택,CHEM154,일반화학실험 II,1,2.0,,,,,1,3,,이과대학,지구환경과학과,화학과,,,5
전공필수,EAES201,지구물질과학,2,1.0,,,,,3,4,의사소통,이과대학,지구환경과학과,지구환경과학과,,,5
전공필수,EAES202,화성암석학,2,2.0,,,,,3,4,의사소통,이과대학,지구환경과학과,지구환경과학과,,,4
전공필수,EAES203,지구화학,2,1.0,,,,,3,3,전문가적 사고,이과대학,지구환경과학과,지구환경과학과,,,4
전공필수,EAES204,지구물리학,2,2.0,,,,,3,3,의사소통,이과대학,지구환경과학과,지구환경과학과,,,5
전공필수,EAES205,대기화학,2,1.0,,,,,3,4,전문가적 사고,이과대학,지구환경과학과,지구환경과학과,,,5
전공필수,EAES206,자연수지구화학,2,2.0,,,,,3,4,전문가적 사고,이과대학,지구환경과학과,지구환경과학과,,,4
전공필수,EAES207,수리지질학,2,2.0,,,,,3,4,전문가적 사고,이과대학,지구환경과학과,지구환경과학과,,,5
전공필수,EAES301,구조지질학,3,1.0,,,,,3,4,전문가적 사고,이과대학,지구환경과학과,지구환경과학과,,,2
전공필수,EAES304,광물에너지자원학,3,2.0,,,,,3,3,전문가적 사고,이과대학,지구환경과학과,지구환경과학과,,,1
전공필수,EAES307,퇴적시스템,3,1.0,,,,,3,4,전문가적 사고,이과대학,지구환경과학과,지구환경과학과,,,4
전공필수,EAES313,토양환경광물학,3,2.0,,,,,3,3,전문가적 사고,이과대학,지구환경과학과,지구환경과학과,,,4
전공필수,EAES315,지진학,3,1.0,,,,,3,4,융합적 사고,이과대학,지구환경과학과,지구환경과학과,,,3
전공필수,EAES402,지질공학,4,2.0,,,,,3,4,문제해결,이과대학,지구환경과학과,지구환경과학과,,,5
전공필수,EAES403,환경과학실습 ,4,1.0,,,,,3,4,문제해결,이과대학,지구환경과학과,지구환경과학과,,,4
전공필수,EAES414,야외지질학실습,4,2.0,,,,,3,4,창의적 사고,이과대학,지구환경과학과,지구환경과학과,,,5
전공필수,EAES423,행성지질학,4,1.0,,,,,3,3,융합적 사고,이과대학,지구환경과학과,지구환경과학과,,,1
전공선택,EAES208,해양환경학,2,1.0,,,,,3,3,전문가적 사고,이과대학,지구환경과학과,지구환경과학과,,,3
전공선택,EAES209,대기과학,2,1.0,,,,,3,3,전문가적 사고,이과대학,지구환경과학과,지구환경과학과,,,2
전공선택,EAES302,지체구조학,3,2.0,,,,,3,3,융합적 사고,이과대학,지구환경과학과,지구환경과학과,,,5
전공선택,EAES305,변성암석학,3,1.0,,,,,3,4,전문가적 사고,이과대학,지구환경과학과,지구환경과학과,,,4
전공선택,EAES308,지하수환경학,3,2.0,,,,,3,3,전문가적 사고,이과대학,지구환경과학과,지구환경과학과,,,5
전공선택,EAES312,석유지질학,3,2.0,,,,,3,3,융합적 사고,이과대학,지구환경과학과,지구환경과학과,,,2
전공선택,EAES314,지구환경Data,3,2.0,,,,,3,4,창의적 사고,이과대학,지구환경과학과,지구환경과학과,,,0
전공선택,EAES404,지화학탐사,4,2.0,,,,,3,3,창의적 사고,이과대학,지구환경과학과,지구환경과학과,,,0
전공선택,EAES405,응용광물학,4,1.0,,,,,3,3,창의적 사고,이과대학,지구환경과학과,지구환경과학과,,,0
전공선택,EAES407,지구원소순환,4,1.0,,,,,3,3,글로벌 리더십,이과대학,지구환경과학과,지구환경과학과,,,5
전공선택,EAES408,원격탐사/GIS,4,2.0,,,,,3,3,문제해결,이과대학,지구환경과학과,지구환경과학과,,,0
전공선택,EAES417,지질방재공학,4,1.0,,,,,3,3,문제해결,이과대학,지구환경과학과,지구환경과학과,,,5
전공선택,EAES418,오염조사/복원,4,2.0,,,,,3,3,문제해결,이과대학,지구환경과학과,지구환경과학과,,,4
전공선택,EAES419,지구환경과학연구Ⅰ,4,1.0,,,,,3,4,글로벌 리더십,이과대학,지구환경과학과,지구환경과학과,,,1
전공선택,EAES420,지구환경과학연구Ⅱ,4,2.0,,,,,3,4,글로벌 리더십,이과대학,지구환경과학과,지구환경과학과,,,1
전공선택,EAES421,현장실습Ⅰ,4,1.0,,,,,3,0,글로벌 리더십,이과대학,지구환경과학과,지구환경과학과,,,0
전공선택,EAES422,현장실습Ⅱ,4,2.0,,,,,3,0,글로벌 리더십,이과대학,지구환경과학과,지구환경과학과,,,0
교직,EAES311,지질학,3,1.0,,,,,2,2,융합적 사고,이과대학,지구환경과학과,지구환경과학과,,,3
교직,EAES391,지구과학교과교육론,3,1.0,,,,,3,3,의사소통,이과대학,지구환경과학과,지구환경과학과,,,5
교직,SCED303,과학교과논리및논술,3,,,,,,2,2,,이과대학,지구환경과학과,이과대학,,,5
교직,EAES394,지구과학교과교재연구및지도법,3,2.0,,,,,3,3,의사소통,이과대학,지구환경과학과,지구환경과학과,,,4
교직,EAES412,우주과학,4,2.0,,,,,2,2,융합적 사고,이과대학,지구환경과학과,지구환경과학과,,,3
