구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양필수,GELI005,학문세계의탐구 I,1,,,,,,3,3.0,,공과대학,산업경영공학부,,,,1
교양필수,GEWR002,글쓰기,1,1.0,,,,,3,3.0,,공과대학,산업경영공학부,,,,1
교양필수,IFLS800,Academic English I,1,,,,,,2,2.0,,공과대학,산업경영공학부,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1.0,,,,,1,1.0,,공과대학,산업경영공학부,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 I,1,2.0,,,,,1,1.0,,공과대학,산업경영공학부,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,1,1.0,,,,,3,3.0,,공과대학,산업경영공학부,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,1,2.0,,,,,3,3.0,,공과대학,산업경영공학부,,,,0
교양필수,GEBT001,[진로창업]생명과학의세계,1,,,,,,3,3.0,,공과대학,산업경영공학부,,,,1
교양필수,,"교양고급영어, 교양외국어 I, II 중 택1",1,,,,,,3,,,공과대학,산업경영공학부,,,,0
교양필수,MATH161,미적분학및연습I,1,1.0,,,,,3,4.0,,공과대학,산업경영공학부,,수학과,,5
교양필수,MATH162,미적분학및연습II,1,2.0,,,,,3,4.0,,공과대학,산업경영공학부,,수학과,,5
학문의기초,EGRN150,공업역학,1,,,,,,3,3.0,,공과대학,산업경영공학부,,공과대학,,5
학문의기초,EGRN153,공업통계,1,,,,,,3,3.0,,공과대학,산업경영공학부,,공과대학,,0
교양선택,PHYS151,일반물리학및연습I,1,,,,,,3,4.0,,공과대학,산업경영공학부,,물리학과,,5
교양선택,PHYS161,일반물리학실험I,1,,,,,,1,3.0,,공과대학,산업경영공학부,,물리학과,,5
교양선택,EGRN127,기초공학가상실험Ⅰ,1,,,,,,1,3.0,,공과대학,산업경영공학부,,공과대학,,2
교양선택,PHYS152,일반물리학및연습II,1,,,,,,3,4.0,,공과대학,산업경영공학부,,물리학과,,5
교양선택,PHYS162,일반물리학실험II,1,,,,,,1,3.0,,공과대학,산업경영공학부,,물리학과,,5
교양선택,EGRN128,기초공학가상실험Ⅱ,1,,,,,,1,3.0,,공과대학,산업경영공학부,,공과대학,,2
교양선택,CHEM150,일반화학및연습,1,,,,,,3,4.0,,공과대학,산업경영공학부,,화학과,,5
교양선택,CHEM155,일반화학실험,1,,,,,,1,3.0,,공과대학,산업경영공학부,,화학과,,5
교양선택,CHEM151,일반화학및연습I,1,,,,,,3,4.0,,공과대학,산업경영공학부,,화학과,,5
교양선택,CHEM153,일반화학실험I,1,,,,,,1,3.0,,공과대학,산업경영공학부,,화학과,,5
교양선택,CHEM152,일반화학및연습II,1,,,,,,3,4.0,,공과대학,산업경영공학부,,화학과,,5
교양선택,CHEM154,일반화학실험II,1,,,,,,1,3.0,,공과대학,산업경영공학부,,화학과,,5
교양선택,LIBS150,생명과학,1,,,,,,3,3.0,,공과대학,산업경영공학부,,생명과학부,,5
전공필수,IMEN213,수리통계및실습,2,1.0,,,,,3,5.0,전공기초,공과대학,산업경영공학부,,산업경영공학부,,5
전공필수,IMEN214,응용통계및실습,2,2.0,,,,,3,5.0,품질/통계,공과대학,산업경영공학부,,산업경영공학부,,5
전공필수,IMEN216,OR-Ⅰ및 실습,2,2.0,,,,,3,5.0,시스템분석,공과대학,산업경영공학부,,산업경영공학부,,5
전공필수,IMEN315,인간공학,3,1.0,,,,,3,5.0,인간공학,공과대학,산업경영공학부,,산업경영공학부,,5
전공필수,IMEN319,OR-Ⅱ 및 실습,3,1.0,,,,,3,5.0,시스템분석,공과대학,산업경영공학부,,산업경영공학부,,5
전공필수,IMEN333,생산계획,3,1.0,,,,,3,4.0,생산/물류,공과대학,산업경영공학부,,산업경영공학부,,5
전공필수,IMEN335,정보시스템설계,3,1.0,,,,,3,4.0,정보시스템,공과대학,산업경영공학부,,산업경영공학부,,5
전공선택,IMEN151,선형대수,1,,,,,,3,4.0,,공과대학,산업경영공학부,,산업경영공학부,,5
전공선택,IMEN153,투자경제성분석,1,1.0,,,,,3,3.0,기타,공과대학,산업경영공학부,,산업경영공학부,,4
전공선택,IMEN156,산업공학개론,1,2.0,,,,,3,3.0,전공기초,공과대학,산업경영공학부,,산업경영공학부,,4
전공선택,IMEN158,데이터분석을위한프로그래밍언어,1,1.0,,,,,3,3.0,품질/통계,공과대학,산업경영공학부,,산업경영공학부,,3
전공선택,IMEN204,일반회계및원가계산,2,2.0,,,,,3,3.0,기타,공과대학,산업경영공학부,,산업경영공학부,,2
전공선택,IMEN219,휴먼인터페이스,2,1.0,,,,,3,5.0,인간공학,공과대학,산업경영공학부,,산업경영공학부,,5
전공선택,IMEN221,객체지향프로그래밍및실습,2,1.0,,,,,3,4.0,전공기초,공과대학,산업경영공학부,,산업경영공학부,,4
전공선택,IMEN223,경영과학개론,2,1.0,,,,,3,3.0,전공기초,공과대학,산업경영공학부,,산업경영공학부,,2
전공선택,IMEN224,자료구조및알고리즘,2,2.0,,,,,3,3.0,정보시스템,공과대학,산업경영공학부,,산업경영공학부,,5
전공선택,IMEN225,사용자 경험과 인공지능,2,,,,,,3,3.0,,공과대학,산업경영공학부,,산업경영공학부,,2
전공선택,IMEN239,지식재산및기술의평가와활용,4,1.0,,,,,3,3.0,기타,공과대학,산업경영공학부,,산업경영공학부,,2
전공선택,IMEN302,공급사슬경영,3,2.0,,,,,3,4.0,생산/물류,공과대학,산업경영공학부,,산업경영공학부,,4
전공선택,IMEN320,최적화응용,3,2.0,,,,,3,3.0,시스템분석,공과대학,산업경영공학부,,산업경영공학부,,1
전공선택,IMEN321,데이터마이닝,3,1.0,,,,,3,3.0,품질/통계,공과대학,산업경영공학부,,산업경영공학부,,5
전공선택,IMEN324,시뮬레이션및실습,3,2.0,,,,,3,5.0,품질/통계,공과대학,산업경영공학부,,산업경영공학부,,4
전공선택,IMEN339,실험계획과통계분석,3,2.0,,,,,3,3.0,품질/통계,공과대학,산업경영공학부,,산업경영공학부,,2
전공선택,IMEN357,최적화이론,3,1.0,,,,,3,4.0,시스템분석,공과대학,산업경영공학부,,산업경영공학부,,4
전공선택,IMEN358,품질공학,3,2.0,,,,,3,3.0,품질/통계,공과대학,산업경영공학부,,산업경영공학부,,5
전공선택,IMEN361,시스템공학특론-Ⅰ,3,1.0,,,,,3,3.0,기타,공과대학,산업경영공학부,,산업경영공학부,,3
전공선택,IMEN362,시스템공학특론-Ⅱ,3,2.0,,,,,3,3.0,기타,공과대학,산업경영공학부,,산업경영공학부,,3
전공선택,IMEN376,스마트생산운영관리,3,2.0,,,,,3,3.0,생산/물류,공과대학,산업경영공학부,,산업경영공학부,,3
전공선택,IMEN382,제품개발,3,2.0,,,,,3,5.0,인간공학,공과대학,산업경영공학부,,산업경영공학부,,5
전공선택,IMEN383,헬스시스템엔지니어링,3,2.0,,,,,3,3.0,정보시스템,공과대학,산업경영공학부,,산업경영공학부,,3
전공선택,IMEN389,공학현장실습Ⅰ,3,1.0,,,,,3,0.0,기타,공과대학,산업경영공학부,,산업경영공학부,,1
전공선택,IMEN407,물류시스템설계,4,1.0,,,,,3,3.0,생산/물류,공과대학,산업경영공학부,,산업경영공학부,,2
전공선택,IMEN415,다변량분석,4,1.0,,,,,3,3.0,품질/통계,공과대학,산업경영공학부,,산업경영공학부,,5
전공선택,IMEN431,예측애널리틱스,4,1.0,,,,,3,3.0,품질/통계,공과대학,산업경영공학부,,산업경영공학부,,3
전공선택,IMEN457,시스템분석,4,1.0,,,,,3,3.0,시스템분석,공과대학,산업경영공학부,,산업경영공학부,,3
전공선택,IMEN461,시사경영과학,4,1.0,,,,,3,3.0,시스템분석,공과대학,산업경영공학부,,산업경영공학부,,2
전공선택,IMEN466,서비스공학,4,2.0,,,,,3,3.0,기타,공과대학,산업경영공학부,,산업경영공학부,,2
전공선택,IMEN468,산업공학을위한딥러닝,4,2.0,,,,,3,3.0,품질/통계,공과대학,산업경영공학부,,산업경영공학부,,3
전공선택,IMEN471,캡스톤디자인Ⅰ,4,1.0,,,,,3,4.0,기타,공과대학,산업경영공학부,,산업경영공학부,,3
전공선택,IMEN472,캡스톤디자인Ⅱ,4,2.0,,,,,3,4.0,기타,공과대학,산업경영공학부,,산업경영공학부,,2
전공선택,IMEN340,지식재산과빅데이터분석,3,,,,,,3,3.0,,공과대학,산업경영공학부,,산업경영공학부,,1
전공인정,EGRN230,국제공학인턴쉽Ⅲ,2,,,,,,9,0.0,,공과대학,산업경영공학부,,공과대학,,0
전공인정,EGRN332,기술과창업,3,,,,,,3,3.0,,공과대학,산업경영공학부,,공과대학,,1
전공인정,EGRN430,공학인턴십Ⅰ,4,,,,,,6,0.0,,공과대학,산업경영공학부,,공과대학,,3
전공인정,EGRN440,공학인턴십Ⅱ,4,,,,,,9,0.0,,공과대학,산업경영공학부,,공과대학,,3
